,node_ids,timestamps,node_type_id
115,550.0,1204.2999999995525,OLM in SO layer
116,550.0,1494.8999999992884,OLM in SO layer
117,600.0,1044.7999999996975,OLM in SO layer
118,600.0,1097.19999999965,OLM in SO layer
119,650.0,1044.299999999698,OLM in SO layer
120,650.0,1339.1999999994298,OLM in SO layer
121,650.0,1405.8999999993691,OLM in SO layer
122,700.0,1044.299999999698,OLM in SO layer
123,700.0,1402.699999999372,OLM in SO layer
124,750.0,1044.199999999698,OLM in SO layer
125,750.0,1339.999999999429,OLM in SO layer
126,750.0,1404.3999999993705,OLM in SO layer
127,800.0,1043.6999999996983,OLM in SO layer
128,800.0,1200.1999999995562,OLM in SO layer
129,800.0,1340.3999999994287,OLM in SO layer
130,2100.0,1335.3999999994332,Pyr in SP layer
131,2550.0,1337.5999999994312,Pyr in SP layer
132,2700.0,1486.8999999992955,Pyr in SP layer
133,3300.0,1350.09999999942,Pyr in SP layer
134,3950.0,1045.8999999996963,Pyr in SP layer
135,4900.0,1331.5999999994367,Pyr in SP layer
136,6200.0,1045.9999999996965,Pyr in SP layer
137,6550.0,1336.899999999432,Pyr in SP layer
138,7500.0,1485.5999999992966,Pyr in SP layer
139,8900.0,1043.3999999996988,Pyr in SP layer
140,9200.0,1045.7999999996966,Pyr in SP layer
141,9450.0,1337.0999999994315,Pyr in SP layer
142,12550.0,1338.2999999994306,Pyr in SP layer
143,12750.0,1036.7999999997048,Pyr in SP layer
144,13150.0,1334.1999999994346,Pyr in SP layer
145,13350.0,1488.5999999992941,Pyr in SP layer
146,13600.0,1354.0999999994162,Pyr in SP layer
147,14550.0,1337.0999999994315,Pyr in SP layer
148,14650.0,1041.6999999997004,Pyr in SP layer
149,15500.0,1340.1999999994287,Pyr in SP layer
150,15800.0,1337.6999999994314,Pyr in SP layer
151,16700.0,1041.9999999997,Pyr in SP layer
152,16750.0,1335.699999999433,Pyr in SP layer
153,17050.0,1195.5999999995606,Pyr in SP layer
154,18900.0,1346.0999999994235,AAC in SP layer
155,18950.0,1339.7999999994292,AAC in SP layer
156,200.0,1531.4999999992551,OLM in SO layer
157,250.0,1632.4999999991628,OLM in SO layer
158,300.0,1631.7999999991634,OLM in SO layer
159,400.0,1531.6999999992547,OLM in SO layer
160,400.0,1633.1999999991626,OLM in SO layer
161,500.0,1749.4999999990564,OLM in SO layer
162,500.0,1944.8999999988791,OLM in SO layer
163,550.0,1631.4999999991642,OLM in SO layer
164,600.0,1631.4999999991642,OLM in SO layer
165,600.0,1941.4999999988822,OLM in SO layer
166,650.0,1651.3999999991458,OLM in SO layer
167,650.0,1891.7999999989272,OLM in SO layer
168,700.0,1505.4999999992785,OLM in SO layer
169,750.0,1944.09999999888,OLM in SO layer
170,3000.0,1628.8999999991665,Pyr in SP layer
171,4350.0,1938.299999998885,Pyr in SP layer
172,4650.0,1777.2999999990313,Pyr in SP layer
173,4650.0,1803.0999999990079,Pyr in SP layer
174,5900.0,1878.7999999989388,Pyr in SP layer
175,7300.0,1742.0999999990634,Pyr in SP layer
176,7650.0,1627.5999999991675,Pyr in SP layer
177,7800.0,1526.899999999259,Pyr in SP layer
178,7800.0,1645.1999999991517,Pyr in SP layer
179,8500.0,1936.5999999988865,Pyr in SP layer
180,9950.0,1798.2999999990122,Pyr in SP layer
181,11450.0,1628.5999999991666,Pyr in SP layer
182,13600.0,1939.399999998884,Pyr in SP layer
183,13700.0,1939.099999998884,Pyr in SP layer
184,15450.0,1630.8999999991645,Pyr in SP layer
185,15600.0,1933.0999999988894,Pyr in SP layer
186,18050.0,1877.7999999989397,Pyr in SP layer
187,18550.0,1744.799999999061,Pyr in SP layer
188,18750.0,1800.1999999990105,Pyr in SP layer
189,200.0,2223.999999999425,OLM in SO layer
190,200.0,2368.099999999949,OLM in SO layer
191,250.0,2074.2999999988806,OLM in SO layer
192,250.0,2259.599999999555,OLM in SO layer
193,300.0,2073.1999999988766,OLM in SO layer
194,300.0,2397.400000000056,OLM in SO layer
195,350.0,2096.299999998961,OLM in SO layer
196,400.0,2073.1999999988766,OLM in SO layer
197,400.0,2397.900000000058,OLM in SO layer
