,Cell type,X location,Y location,Z location
776,Pyr in SP layer,240,928,306
777,Pyr in SP layer,184,600,306
778,Pyr in SP layer,344,552,322
779,Pyr in SP layer,280,376,298
780,Pyr in SP layer,40,776,314
781,Pyr in SP layer,48,632,306
782,Pyr in SP layer,312,984,290
783,Pyr in SP layer,24,960,290
784,Pyr in SP layer,40,240,314
785,Pyr in SP layer,152,584,322
786,Pyr in SP layer,248,96,314
787,Pyr in SP layer,184,480,298
788,Pyr in SP layer,104,504,322
789,Pyr in SP layer,336,72,306
790,Pyr in SP layer,216,424,306
791,Pyr in SP layer,144,144,322
792,Pyr in SP layer,0,952,322
793,Pyr in SP layer,48,280,290
794,Pyr in SP layer,376,856,298
795,Pyr in SP layer,48,344,290
796,Pyr in SP layer,200,320,298
797,Pyr in SP layer,232,840,290
798,Pyr in SP layer,288,712,298
799,Pyr in SP layer,184,696,298
800,Pyr in SP layer,152,312,298
801,Pyr in SP layer,256,736,306
802,Pyr in SP layer,224,680,298
803,Pyr in SP layer,32,440,306
804,Pyr in SP layer,96,176,322
805,Pyr in SP layer,112,584,322
806,Pyr in SP layer,232,560,290
807,Pyr in SP layer,384,672,322
808,Pyr in SP layer,192,448,298
809,Pyr in SP layer,144,744,322
810,Pyr in SP layer,296,600,298
811,Pyr in SP layer,80,336,306
812,Pyr in SP layer,304,464,314
813,Pyr in SP layer,200,280,322
814,Pyr in SP layer,280,744,306
815,Pyr in SP layer,256,432,322
816,Pyr in SP layer,80,520,314
817,Pyr in SP layer,328,920,314
818,Pyr in SP layer,72,40,314
819,Pyr in SP layer,312,552,306
820,Pyr in SP layer,8,376,298
821,Pyr in SP layer,384,632,290
822,Pyr in SP layer,224,672,322
823,Pyr in SP layer,184,816,298
824,Pyr in SP layer,80,696,298
825,Pyr in SP layer,312,944,290
826,Pyr in SP layer,376,768,298
827,Pyr in SP layer,392,312,290
828,Pyr in SP layer,352,56,298
829,Pyr in SP layer,320,376,314
830,Pyr in SP layer,304,296,290
831,Pyr in SP layer,80,704,314
832,Pyr in SP layer,344,928,306
833,Pyr in SP layer,48,568,306
834,Pyr in SP layer,96,232,314
835,Pyr in SP layer,240,176,322
836,Pyr in SP layer,224,640,314
837,Pyr in SP layer,184,152,290
838,Pyr in SP layer,64,552,322
839,Pyr in SP layer,88,856,322
840,Pyr in SP layer,32,880,298
841,Pyr in SP layer,192,992,322
842,Pyr in SP layer,296,248,306
843,Pyr in SP layer,256,176,322
844,Pyr in SP layer,400,840,322
845,Pyr in SP layer,336,144,306
846,Pyr in SP layer,392,936,306
847,Pyr in SP layer,192,632,306
848,Pyr in SP layer,344,504,298
849,Pyr in SP layer,216,960,314
850,Pyr in SP layer,136,992,290
851,Pyr in SP layer,176,608,290
852,Pyr in SP layer,216,560,306
853,Pyr in SP layer,288,840,314
854,Pyr in SP layer,96,944,290
855,Pyr in SP layer,232,88,314
856,Pyr in SP layer,352,760,298
857,Pyr in SP layer,280,752,290
858,Pyr in SP layer,272,872,314
859,Pyr in SP layer,120,296,298
860,Pyr in SP layer,0,272,314
861,Pyr in SP layer,272,160,298
862,Pyr in SP layer,400,296,322
863,Pyr in SP layer,400,680,298
864,Pyr in SP layer,144,472,306
865,Pyr in SP layer,80,456,306
866,Pyr in SP layer,120,424,322
867,Pyr in SP layer,24,120,314
868,Pyr in SP layer,216,568,298
869,Pyr in SP layer,184,1000,298
870,Pyr in SP layer,160,352,290
871,Pyr in SP layer,312,896,298
872,Pyr in SP layer,304,352,322
873,Pyr in SP layer,192,880,314
874,Pyr in SP layer,288,792,314
875,Pyr in SP layer,288,168,298
876,Pyr in SP layer,360,640,322
877,Pyr in SP layer,56,840,306
878,Pyr in SP layer,304,280,322
879,Pyr in SP layer,240,392,306
880,Pyr in SP layer,200,72,306
881,Pyr in SP layer,352,72,314
882,Pyr in SP layer,144,240,290
883,Pyr in SP layer,104,872,298
884,Pyr in SP layer,168,728,298
885,Pyr in SP layer,112,152,306
886,Pyr in SP layer,136,64,298
887,Pyr in SP layer,392,392,290
888,Pyr in SP layer,272,704,322
889,Pyr in SP layer,384,136,314
890,Pyr in SP layer,72,8,314
891,Pyr in SP layer,0,448,314
892,Pyr in SP layer,72,184,322
893,Pyr in SP layer,336,984,298
894,Pyr in SP layer,200,880,290
895,Pyr in SP layer,0,928,322
896,Pyr in SP layer,312,256,298
897,Pyr in SP layer,8,80,322
898,Pyr in SP layer,344,192,322
899,Pyr in SP layer,96,448,306
900,Pyr in SP layer,400,792,298
901,Pyr in SP layer,40,816,290
902,Pyr in SP layer,328,1000,298
903,Pyr in SP layer,360,712,314
904,Pyr in SP layer,272,520,314
905,Pyr in SP layer,72,592,290
906,Pyr in SP layer,288,56,298
907,Pyr in SP layer,0,824,322
908,Pyr in SP layer,264,72,298
909,Pyr in SP layer,96,136,322
910,Pyr in SP layer,392,288,306
911,Pyr in SP layer,272,128,298
912,Pyr in SP layer,312,808,322
913,Pyr in SP layer,312,816,298
914,Pyr in SP layer,336,456,306
915,Pyr in SP layer,216,616,290
916,Pyr in SP layer,376,88,290
917,Pyr in SP layer,256,968,306
918,Pyr in SP layer,352,184,322
919,Pyr in SP layer,208,8,306
920,Pyr in SP layer,8,328,290
921,Pyr in SP layer,384,440,322
922,Pyr in SP layer,384,200,306
923,Pyr in SP layer,48,536,322
924,Pyr in SP layer,192,160,306
925,Pyr in SP layer,40,960,306
926,Pyr in SP layer,352,288,306
927,Pyr in SP layer,96,312,290
928,Pyr in SP layer,88,88,322
929,Pyr in SP layer,256,280,290
930,Pyr in SP layer,128,720,298
931,Pyr in SP layer,24,768,322
932,Pyr in SP layer,240,288,290
933,Pyr in SP layer,168,120,322
934,Pyr in SP layer,392,96,290
935,Pyr in SP layer,264,112,322
936,Pyr in SP layer,384,392,298
937,Pyr in SP layer,368,680,314
938,Pyr in SP layer,128,672,322
939,Pyr in SP layer,296,744,290
940,Pyr in SP layer,24,464,314
941,Pyr in SP layer,352,352,306
942,Pyr in SP layer,240,800,314
943,Pyr in SP layer,112,616,306
944,Pyr in SP layer,200,488,290
945,Pyr in SP layer,56,840,298
946,Pyr in SP layer,320,304,298
947,Pyr in SP layer,104,936,306
948,Pyr in SP layer,400,144,298
949,Pyr in SP layer,144,32,314
950,Pyr in SP layer,200,144,314
951,Pyr in SP layer,288,320,314
952,Pyr in SP layer,208,368,290
953,Pyr in SP layer,160,488,290
954,Pyr in SP layer,272,880,306
955,Pyr in SP layer,112,136,298
956,Pyr in SP layer,208,104,298
957,Pyr in SP layer,32,664,314
958,Pyr in SP layer,152,64,314
959,Pyr in SP layer,392,0,306
960,Pyr in SP layer,24,808,290
961,Pyr in SP layer,24,400,298
962,Pyr in SP layer,184,632,290
963,Pyr in SP layer,56,760,290
964,Pyr in SP layer,400,272,290
965,Pyr in SP layer,336,448,322
966,Pyr in SP layer,56,552,306
967,Pyr in SP layer,344,680,314
968,Pyr in SP layer,48,0,322
969,Pyr in SP layer,320,936,298
970,Pyr in SP layer,152,720,314
971,Pyr in SP layer,224,984,314
972,Pyr in SP layer,360,976,322
973,Pyr in SP layer,176,848,306
974,Pyr in SP layer,296,88,306
975,Pyr in SP layer,176,296,306
976,Pyr in SP layer,80,784,314
977,Pyr in SP layer,272,896,290
978,Pyr in SP layer,360,984,290
979,Pyr in SP layer,104,8,306
980,Pyr in SP layer,208,328,322
981,Pyr in SP layer,40,616,290
982,Pyr in SP layer,360,784,290
983,Pyr in SP layer,272,144,322
984,Pyr in SP layer,360,472,306
985,Pyr in SP layer,32,968,314
986,Pyr in SP layer,72,152,322
987,Pyr in SP layer,160,112,306
988,Pyr in SP layer,232,728,306
989,Pyr in SP layer,72,672,306
990,Pyr in SP layer,224,368,306
991,Pyr in SP layer,232,880,322
992,Pyr in SP layer,336,736,290
993,Pyr in SP layer,112,144,298
994,Pyr in SP layer,264,624,306
995,Pyr in SP layer,296,240,298
996,Pyr in SP layer,352,488,298
997,Pyr in SP layer,192,512,306
998,Pyr in SP layer,280,160,306
999,Pyr in SP layer,384,952,314
1000,Pyr in SP layer,328,344,306
1001,Pyr in SP layer,120,504,322
1002,Pyr in SP layer,280,880,290
1003,Pyr in SP layer,352,952,298
1004,Pyr in SP layer,88,504,306
1005,Pyr in SP layer,224,480,306
1006,Pyr in SP layer,88,976,290
1007,Pyr in SP layer,16,496,298
1008,Pyr in SP layer,208,776,306
1009,Pyr in SP layer,272,200,298
1010,Pyr in SP layer,144,480,306
1011,Pyr in SP layer,216,56,306
1012,Pyr in SP layer,0,432,322
1013,Pyr in SP layer,360,840,306
1014,Pyr in SP layer,200,0,290
1015,Pyr in SP layer,40,488,306
1016,Pyr in SP layer,320,520,290
1017,Pyr in SP layer,56,168,298
1018,Pyr in SP layer,144,616,298
1019,Pyr in SP layer,184,728,322
1020,Pyr in SP layer,8,56,298
1021,Pyr in SP layer,88,944,322
1022,Pyr in SP layer,344,664,306
1023,Pyr in SP layer,0,24,290
1024,Pyr in SP layer,296,232,298
1025,Pyr in SP layer,24,600,322
1026,Pyr in SP layer,160,440,306
1027,Pyr in SP layer,104,568,306
1028,Pyr in SP layer,296,464,290
1029,Pyr in SP layer,56,376,322
1030,Pyr in SP layer,64,784,298
1031,Pyr in SP layer,128,568,322
1032,Pyr in SP layer,128,576,306
1033,Pyr in SP layer,24,272,314
1034,Pyr in SP layer,256,384,298
1035,Pyr in SP layer,160,1000,322
1036,Pyr in SP layer,224,944,290
1037,Pyr in SP layer,72,616,298
1038,Pyr in SP layer,88,424,314
1039,Pyr in SP layer,272,760,306
1040,Pyr in SP layer,384,144,314
1041,Pyr in SP layer,296,528,322
1042,Pyr in SP layer,0,88,306
1043,Pyr in SP layer,312,144,322
1044,Pyr in SP layer,48,136,290
1045,Pyr in SP layer,232,600,322
1046,Pyr in SP layer,8,840,314
1047,Pyr in SP layer,264,792,298
1048,Pyr in SP layer,352,272,322
1049,Pyr in SP layer,104,16,314
1050,Pyr in SP layer,184,144,290
1051,Pyr in SP layer,136,928,298
1052,Pyr in SP layer,152,952,290
1053,Pyr in SP layer,328,712,306
1054,Pyr in SP layer,208,144,314
1055,Pyr in SP layer,128,120,290
1056,Pyr in SP layer,312,880,298
1057,Pyr in SP layer,400,240,306
1058,Pyr in SP layer,72,512,290
1059,Pyr in SP layer,240,224,290
1060,Pyr in SP layer,344,48,306
1061,Pyr in SP layer,240,552,290
1062,Pyr in SP layer,240,256,298
1063,Pyr in SP layer,96,328,322
1064,Pyr in SP layer,328,168,314
1065,Pyr in SP layer,400,72,290
1066,Pyr in SP layer,208,656,314
1067,Pyr in SP layer,384,552,298
1068,Pyr in SP layer,48,296,306
1069,Pyr in SP layer,232,64,298
1070,Pyr in SP layer,48,656,298
1071,Pyr in SP layer,120,808,306
1072,Pyr in SP layer,96,992,314
1073,Pyr in SP layer,224,632,322
1074,Pyr in SP layer,256,608,290
1075,Pyr in SP layer,264,120,322
1076,Pyr in SP layer,152,632,306
1077,Pyr in SP layer,312,488,298
1078,Pyr in SP layer,64,368,322
1079,Pyr in SP layer,360,208,298
1080,Pyr in SP layer,296,320,290
1081,Pyr in SP layer,288,168,322
1082,Pyr in SP layer,192,240,314
1083,Pyr in SP layer,328,864,306
1084,Pyr in SP layer,376,784,290
1085,Pyr in SP layer,264,88,298
1086,Pyr in SP layer,160,440,290
1087,Pyr in SP layer,336,320,306
1088,Pyr in SP layer,200,152,322
1089,Pyr in SP layer,384,496,314
1090,Pyr in SP layer,280,232,298
1091,Pyr in SP layer,120,904,290
1092,Pyr in SP layer,304,408,314
1093,Pyr in SP layer,80,584,290
1094,Pyr in SP layer,88,96,298
1095,Pyr in SP layer,288,40,290
1096,Pyr in SP layer,104,968,322
1097,Pyr in SP layer,304,496,306
1098,Pyr in SP layer,328,440,314
1099,Pyr in SP layer,256,360,322
1100,Pyr in SP layer,152,744,290
1101,Pyr in SP layer,88,544,306
1102,Pyr in SP layer,376,48,290
1103,Pyr in SP layer,24,560,290
1104,Pyr in SP layer,256,952,290
1105,Pyr in SP layer,192,104,306
1106,Pyr in SP layer,400,368,306
1107,Pyr in SP layer,104,440,306
1108,Pyr in SP layer,384,32,314
1109,Pyr in SP layer,248,224,290
1110,Pyr in SP layer,200,840,322
1111,Pyr in SP layer,248,688,314
1112,Pyr in SP layer,352,776,298
1113,Pyr in SP layer,384,128,298
1114,Pyr in SP layer,112,856,314
1115,Pyr in SP layer,120,496,298
1116,Pyr in SP layer,8,504,306
1117,Pyr in SP layer,0,200,314
1118,Pyr in SP layer,360,936,314
1119,Pyr in SP layer,104,304,298
1120,Pyr in SP layer,64,736,314
1121,Pyr in SP layer,216,304,298
1122,Pyr in SP layer,352,1000,322
1123,Pyr in SP layer,0,272,322
1124,Pyr in SP layer,80,640,306
1125,Pyr in SP layer,168,160,314
1126,Pyr in SP layer,200,128,306
1127,Pyr in SP layer,176,592,290
1128,Pyr in SP layer,80,168,314
1129,Pyr in SP layer,280,32,298
1130,Pyr in SP layer,160,376,314
1131,Pyr in SP layer,376,1000,290
1132,Pyr in SP layer,392,216,322
1133,Pyr in SP layer,128,144,306
1134,Pyr in SP layer,384,168,322
1135,Pyr in SP layer,16,608,322
1136,Pyr in SP layer,336,960,306
1137,Pyr in SP layer,312,448,290
1138,Pyr in SP layer,240,824,322
1139,Pyr in SP layer,40,176,298
1140,Pyr in SP layer,48,408,306
1141,Pyr in SP layer,392,544,298
1142,Pyr in SP layer,176,912,306
1143,Pyr in SP layer,368,856,314
1144,Pyr in SP layer,64,120,290
1145,Pyr in SP layer,160,456,322
1146,Pyr in SP layer,336,784,290
1147,Pyr in SP layer,216,760,290
1148,Pyr in SP layer,304,912,306
1149,Pyr in SP layer,240,200,322
1150,Pyr in SP layer,24,736,290
1151,Pyr in SP layer,0,352,322
1152,Pyr in SP layer,208,384,298
1153,Pyr in SP layer,32,456,306
1154,Pyr in SP layer,32,64,290
1155,Pyr in SP layer,296,848,298
1156,Pyr in SP layer,248,784,314
1157,Pyr in SP layer,312,640,314
1158,Pyr in SP layer,40,312,298
1159,Pyr in SP layer,320,656,322
1160,Pyr in SP layer,24,648,306
1161,Pyr in SP layer,112,768,322
1162,Pyr in SP layer,280,600,290
1163,Pyr in SP layer,344,424,298
1164,Pyr in SP layer,384,768,322
1165,Pyr in SP layer,400,304,290
1166,Pyr in SP layer,200,248,314
1167,Pyr in SP layer,0,672,314
1168,Pyr in SP layer,248,672,298
1169,Pyr in SP layer,80,696,290
1170,Pyr in SP layer,24,576,290
1171,Pyr in SP layer,376,72,314
1172,Pyr in SP layer,64,160,298
1173,Pyr in SP layer,376,784,298
1174,Pyr in SP layer,112,800,298
1175,Pyr in SP layer,216,688,314
1176,Pyr in SP layer,240,336,314
1177,Pyr in SP layer,200,328,322
1178,Pyr in SP layer,320,912,306
1179,Pyr in SP layer,80,888,322
1180,Pyr in SP layer,64,288,314
1181,Pyr in SP layer,312,320,298
1182,Pyr in SP layer,384,952,290
1183,Pyr in SP layer,184,296,314
1184,Pyr in SP layer,216,80,314
1185,Pyr in SP layer,376,32,314
1186,Pyr in SP layer,208,736,306
1187,Pyr in SP layer,264,472,306
1188,Pyr in SP layer,240,256,306
1189,Pyr in SP layer,176,328,298
1190,Pyr in SP layer,48,344,298
1191,Pyr in SP layer,240,824,306
1192,Pyr in SP layer,120,920,314
1193,Pyr in SP layer,168,520,298
1194,Pyr in SP layer,336,368,306
1195,Pyr in SP layer,232,120,306
1196,Pyr in SP layer,8,80,314
1197,Pyr in SP layer,400,336,322
1198,Pyr in SP layer,80,376,298
1199,Pyr in SP layer,256,520,306
1200,Pyr in SP layer,112,232,322
1201,Pyr in SP layer,400,952,314
1202,Pyr in SP layer,48,824,298
1203,Pyr in SP layer,152,888,290
1204,Pyr in SP layer,32,864,306
1205,Pyr in SP layer,312,624,322
1206,Pyr in SP layer,312,832,314
1207,Pyr in SP layer,24,520,290
1208,Pyr in SP layer,176,584,314
1209,Pyr in SP layer,176,720,314
1210,Pyr in SP layer,272,936,298
1211,Pyr in SP layer,352,632,306
1212,Pyr in SP layer,80,984,322
1213,Pyr in SP layer,304,8,290
1214,Pyr in SP layer,344,656,322
1215,Pyr in SP layer,272,152,306
1216,Pyr in SP layer,48,192,314
1217,Pyr in SP layer,8,488,322
1218,Pyr in SP layer,88,752,290
1219,Pyr in SP layer,304,832,314
1220,Pyr in SP layer,368,56,314
1221,Pyr in SP layer,256,808,306
1222,Pyr in SP layer,248,24,314
1223,Pyr in SP layer,144,456,298
1224,Pyr in SP layer,320,80,298
1225,Pyr in SP layer,8,536,314
1226,Pyr in SP layer,304,544,314
1227,Pyr in SP layer,104,536,306
1228,Pyr in SP layer,64,24,290
1229,Pyr in SP layer,264,64,290
1230,Pyr in SP layer,360,600,322
1231,Pyr in SP layer,160,448,298
1232,Pyr in SP layer,208,672,314
1233,Pyr in SP layer,112,40,298
1234,Pyr in SP layer,240,264,314
1235,Pyr in SP layer,144,576,314
1236,Pyr in SP layer,208,792,306
1237,Pyr in SP layer,120,136,306
1238,Pyr in SP layer,208,480,290
1239,Pyr in SP layer,16,496,306
1240,Pyr in SP layer,280,832,298
1241,Pyr in SP layer,200,16,290
1242,Pyr in SP layer,232,880,290
1243,Pyr in SP layer,264,216,322
1244,Pyr in SP layer,144,416,290
1245,Pyr in SP layer,304,800,298
1246,Pyr in SP layer,16,728,314
1247,Pyr in SP layer,400,680,314
1248,Pyr in SP layer,128,800,290
1249,Pyr in SP layer,152,104,290
1250,Pyr in SP layer,176,104,290
1251,Pyr in SP layer,336,576,298
1252,Pyr in SP layer,320,808,322
1253,Pyr in SP layer,64,808,322
1254,Pyr in SP layer,112,920,298
1255,Pyr in SP layer,336,136,298
1256,Pyr in SP layer,360,752,298
1257,Pyr in SP layer,112,944,290
1258,Pyr in SP layer,336,800,290
1259,Pyr in SP layer,48,616,298
1260,Pyr in SP layer,16,792,322
1261,Pyr in SP layer,320,144,306
1262,Pyr in SP layer,208,888,306
1263,Pyr in SP layer,104,208,314
1264,Pyr in SP layer,64,272,306
1265,Pyr in SP layer,0,304,298
1266,Pyr in SP layer,56,904,298
1267,Pyr in SP layer,120,936,314
1268,Pyr in SP layer,272,784,322
1269,Pyr in SP layer,328,72,314
1270,Pyr in SP layer,360,864,314
1271,Pyr in SP layer,216,152,290
1272,Pyr in SP layer,248,656,298
1273,Pyr in SP layer,0,168,314
1274,Pyr in SP layer,248,720,314
1275,Pyr in SP layer,168,800,314
1276,Pyr in SP layer,344,616,314
1277,Pyr in SP layer,360,120,322
1278,Pyr in SP layer,128,720,322
1279,Pyr in SP layer,360,352,306
1280,Pyr in SP layer,104,312,314
1281,Pyr in SP layer,72,592,314
1282,Pyr in SP layer,376,760,298
1283,Pyr in SP layer,320,280,306
1284,Pyr in SP layer,128,408,306
1285,Pyr in SP layer,184,768,322
1286,Pyr in SP layer,24,72,314
1287,Pyr in SP layer,168,320,290
1288,Pyr in SP layer,120,688,290
1289,Pyr in SP layer,336,944,298
1290,Pyr in SP layer,312,240,314
1291,Pyr in SP layer,320,344,290
1292,Pyr in SP layer,64,696,314
1293,Pyr in SP layer,56,816,298
1294,Pyr in SP layer,32,496,314
1295,Pyr in SP layer,384,56,306
1296,Pyr in SP layer,176,40,322
1297,Pyr in SP layer,128,96,322
1298,Pyr in SP layer,104,72,306
1299,Pyr in SP layer,224,616,314
1300,Pyr in SP layer,80,624,314
1301,Pyr in SP layer,312,864,306
1302,Pyr in SP layer,216,640,306
1303,Pyr in SP layer,384,288,290
1304,Pyr in SP layer,24,760,314
1305,Pyr in SP layer,280,640,298
1306,Pyr in SP layer,264,904,298
1307,Pyr in SP layer,24,144,322
1308,Pyr in SP layer,64,176,322
1309,Pyr in SP layer,264,824,290
1310,Pyr in SP layer,0,280,306
1311,Pyr in SP layer,104,464,314
1312,Pyr in SP layer,104,304,314
1313,Pyr in SP layer,128,192,306
1314,Pyr in SP layer,16,64,314
1315,Pyr in SP layer,312,344,322
1316,Pyr in SP layer,80,304,306
1317,Pyr in SP layer,368,808,290
1318,Pyr in SP layer,304,848,322
1319,Pyr in SP layer,128,536,298
1320,Pyr in SP layer,72,352,306
1321,Pyr in SP layer,272,488,290
1322,Pyr in SP layer,312,104,290
1323,Pyr in SP layer,200,56,306
1324,Pyr in SP layer,344,376,322
1325,Pyr in SP layer,56,240,322
1326,Pyr in SP layer,376,344,306
1327,Pyr in SP layer,392,720,322
1328,Pyr in SP layer,200,544,290
1329,Pyr in SP layer,40,632,306
1330,Pyr in SP layer,304,376,298
1331,Pyr in SP layer,128,328,314
1332,Pyr in SP layer,376,176,322
1333,Pyr in SP layer,264,608,314
1334,Pyr in SP layer,232,248,290
1335,Pyr in SP layer,80,728,322
1336,Pyr in SP layer,392,256,306
1337,Pyr in SP layer,240,776,314
1338,Pyr in SP layer,208,0,314
1339,Pyr in SP layer,176,224,290
1340,Pyr in SP layer,320,328,306
1341,Pyr in SP layer,264,336,314
1342,Pyr in SP layer,32,840,290
1343,Pyr in SP layer,192,128,290
1344,Pyr in SP layer,216,32,298
1345,Pyr in SP layer,208,88,298
1346,Pyr in SP layer,168,968,306
1347,Pyr in SP layer,0,16,298
1348,Pyr in SP layer,144,632,290
1349,Pyr in SP layer,88,672,322
1350,Pyr in SP layer,144,520,306
1351,Pyr in SP layer,80,88,306
1352,Pyr in SP layer,176,808,290
1353,Pyr in SP layer,72,0,298
1354,Pyr in SP layer,32,360,322
1355,Pyr in SP layer,280,760,290
1356,Pyr in SP layer,272,72,298
1357,Pyr in SP layer,272,24,322
1358,Pyr in SP layer,328,184,306
1359,Pyr in SP layer,168,440,298
1360,Pyr in SP layer,176,640,322
1361,Pyr in SP layer,16,832,306
1362,Pyr in SP layer,72,56,298
1363,Pyr in SP layer,376,616,306
1364,Pyr in SP layer,184,800,322
1365,Pyr in SP layer,320,456,314
1366,Pyr in SP layer,48,768,306
1367,Pyr in SP layer,120,800,298
1368,Pyr in SP layer,304,392,290
1369,Pyr in SP layer,96,448,298
1370,Pyr in SP layer,232,872,290
1371,Pyr in SP layer,256,856,290
1372,Pyr in SP layer,272,600,298
1373,Pyr in SP layer,64,328,290
1374,Pyr in SP layer,56,408,322
1375,Pyr in SP layer,256,552,306
1376,Pyr in SP layer,384,944,314
1377,Pyr in SP layer,312,496,306
1378,Pyr in SP layer,256,128,314
1379,Pyr in SP layer,192,968,314
1380,Pyr in SP layer,304,960,314
1381,Pyr in SP layer,344,144,322
1382,Pyr in SP layer,272,424,314
1383,Pyr in SP layer,296,64,322
1384,Pyr in SP layer,104,840,322
1385,Pyr in SP layer,264,520,322
1386,Pyr in SP layer,392,40,306
1387,Pyr in SP layer,352,776,290
1388,Pyr in SP layer,96,176,290
1389,Pyr in SP layer,88,864,314
1390,Pyr in SP layer,168,912,298
1391,Pyr in SP layer,248,632,314
1392,Pyr in SP layer,288,136,314
1393,Pyr in SP layer,248,904,298
1394,Pyr in SP layer,288,952,314
1395,Pyr in SP layer,224,152,314
1396,Pyr in SP layer,16,440,306
1397,Pyr in SP layer,176,272,306
1398,Pyr in SP layer,320,56,314
1399,Pyr in SP layer,56,72,322
1400,Pyr in SP layer,360,192,298
1401,Pyr in SP layer,48,344,314
1402,Pyr in SP layer,8,992,298
1403,Pyr in SP layer,56,136,298
1404,Pyr in SP layer,120,48,322
1405,Pyr in SP layer,8,232,298
1406,Pyr in SP layer,48,808,306
1407,Pyr in SP layer,280,664,314
1408,Pyr in SP layer,200,600,322
1409,Pyr in SP layer,392,904,306
1410,Pyr in SP layer,224,584,290
1411,Pyr in SP layer,320,296,306
1412,Pyr in SP layer,200,344,290
1413,Pyr in SP layer,216,152,306
1414,Pyr in SP layer,64,352,298
1415,Pyr in SP layer,48,40,298
1416,Pyr in SP layer,360,440,322
1417,Pyr in SP layer,336,888,298
1418,Pyr in SP layer,120,456,298
1419,Pyr in SP layer,56,376,298
1420,Pyr in SP layer,264,872,314
1421,Pyr in SP layer,368,368,314
1422,Pyr in SP layer,304,584,298
1423,Pyr in SP layer,320,1000,290
1424,Pyr in SP layer,376,984,314
1425,Pyr in SP layer,184,16,290
1426,Pyr in SP layer,368,672,322
1427,Pyr in SP layer,32,80,314
1428,Pyr in SP layer,8,928,298
1429,Pyr in SP layer,248,40,290
1430,Pyr in SP layer,176,176,314
1431,Pyr in SP layer,48,632,314
1432,Pyr in SP layer,176,1000,298
1433,Pyr in SP layer,80,872,322
1434,Pyr in SP layer,368,880,314
1435,Pyr in SP layer,144,992,298
1436,Pyr in SP layer,80,272,290
1437,Pyr in SP layer,400,560,322
1438,Pyr in SP layer,328,32,314
1439,Pyr in SP layer,328,400,322
1440,Pyr in SP layer,232,24,314
1441,Pyr in SP layer,296,184,290
1442,Pyr in SP layer,296,928,322
1443,Pyr in SP layer,392,24,290
1444,Pyr in SP layer,176,832,290
1445,Pyr in SP layer,384,816,298
1446,Pyr in SP layer,16,760,298
1447,Pyr in SP layer,88,528,298
1448,Pyr in SP layer,296,648,322
1449,Pyr in SP layer,16,104,314
1450,Pyr in SP layer,96,432,306
1451,Pyr in SP layer,392,104,322
1452,Pyr in SP layer,24,168,314
1453,Pyr in SP layer,336,648,298
1454,Pyr in SP layer,256,48,306
1455,Pyr in SP layer,160,944,322
1456,Pyr in SP layer,96,296,298
1457,Pyr in SP layer,320,992,314
1458,Pyr in SP layer,192,672,314
1459,Pyr in SP layer,232,456,322
1460,Pyr in SP layer,136,176,322
1461,Pyr in SP layer,176,784,290
1462,Pyr in SP layer,264,792,322
1463,Pyr in SP layer,168,64,290
1464,Pyr in SP layer,128,472,306
1465,Pyr in SP layer,312,856,306
1466,Pyr in SP layer,336,976,290
1467,Pyr in SP layer,16,648,314
1468,Pyr in SP layer,392,832,306
1469,Pyr in SP layer,176,648,314
1470,Pyr in SP layer,64,504,314
1471,Pyr in SP layer,288,568,322
1472,Pyr in SP layer,264,432,306
1473,Pyr in SP layer,392,288,290
1474,Pyr in SP layer,8,672,298
1475,Pyr in SP layer,24,432,290
1476,Pyr in SP layer,400,224,306
1477,Pyr in SP layer,8,656,306
1478,Pyr in SP layer,184,952,290
1479,Pyr in SP layer,184,872,314
1480,Pyr in SP layer,104,184,306
1481,Pyr in SP layer,208,456,298
1482,Pyr in SP layer,232,752,314
1483,Pyr in SP layer,384,328,306
1484,Pyr in SP layer,240,664,322
1485,Pyr in SP layer,344,368,298
1486,Pyr in SP layer,192,456,314
1487,Pyr in SP layer,48,616,290
1488,Pyr in SP layer,72,816,322
1489,Pyr in SP layer,240,352,306
1490,Pyr in SP layer,120,616,290
1491,Pyr in SP layer,104,400,322
1492,Pyr in SP layer,392,944,298
1493,Pyr in SP layer,240,576,306
1494,Pyr in SP layer,24,184,322
1495,Pyr in SP layer,16,360,290
1496,Pyr in SP layer,32,248,322
1497,Pyr in SP layer,232,432,322
1498,Pyr in SP layer,280,376,290
1499,Pyr in SP layer,360,544,290
1500,Pyr in SP layer,40,664,290
1501,Pyr in SP layer,96,264,298
1502,Pyr in SP layer,32,224,314
1503,Pyr in SP layer,48,48,314
1504,Pyr in SP layer,344,344,322
1505,Pyr in SP layer,312,760,290
1506,Pyr in SP layer,288,768,314
1507,Pyr in SP layer,64,272,298
1508,Pyr in SP layer,392,800,314
1509,Pyr in SP layer,216,504,314
1510,Pyr in SP layer,48,368,290
1511,Pyr in SP layer,136,80,306
1512,Pyr in SP layer,296,16,306
1513,Pyr in SP layer,232,0,322
1514,Pyr in SP layer,280,560,298
1515,Pyr in SP layer,232,96,306
1516,Pyr in SP layer,264,480,298
1517,Pyr in SP layer,192,600,306
1518,Pyr in SP layer,216,888,306
1519,Pyr in SP layer,240,192,306
1520,Pyr in SP layer,376,328,290
1521,Pyr in SP layer,0,368,322
1522,Pyr in SP layer,72,776,298
