,Cell type,X location,Y location,Z location
179,Pyr in SP layer,312,584,298
180,Pyr in SP layer,72,144,306
181,Pyr in SP layer,336,224,306
182,Pyr in SP layer,32,712,298
183,Pyr in SP layer,24,808,298
184,Pyr in SP layer,96,752,314
185,Pyr in SP layer,376,856,306
186,Pyr in SP layer,328,544,322
187,Pyr in SP layer,24,216,322
188,Pyr in SP layer,64,80,314
189,Pyr in SP layer,104,320,290
190,Pyr in SP layer,64,520,314
191,Pyr in SP layer,32,800,322
192,Pyr in SP layer,136,672,322
193,Pyr in SP layer,240,696,314
194,Pyr in SP layer,200,752,290
195,Pyr in SP layer,136,112,298
196,Pyr in SP layer,184,280,314
197,Pyr in SP layer,32,536,298
198,Pyr in SP layer,160,848,290
199,Pyr in SP layer,120,128,298
200,Pyr in SP layer,312,120,290
201,Pyr in SP layer,112,248,306
202,Pyr in SP layer,352,80,290
203,Pyr in SP layer,24,408,314
204,Pyr in SP layer,24,824,306
205,Pyr in SP layer,232,952,322
206,Pyr in SP layer,192,528,322
207,Pyr in SP layer,304,376,306
208,Pyr in SP layer,152,888,314
209,Pyr in SP layer,184,472,306
210,Pyr in SP layer,240,456,290
211,Pyr in SP layer,160,576,314
212,Pyr in SP layer,384,376,290
213,Pyr in SP layer,352,232,322
214,Pyr in SP layer,384,760,306
215,Pyr in SP layer,136,456,298
216,Pyr in SP layer,136,8,290
217,Pyr in SP layer,384,344,298
218,Pyr in SP layer,160,144,298
219,Pyr in SP layer,280,336,290
220,Pyr in SP layer,192,384,322
221,Pyr in SP layer,392,192,306
222,Pyr in SP layer,112,552,322
223,Pyr in SP layer,312,1000,298
224,Pyr in SP layer,88,640,322
225,Pyr in SP layer,304,696,306
226,Pyr in SP layer,32,328,314
227,Pyr in SP layer,248,776,306
228,Pyr in SP layer,224,328,322
229,Pyr in SP layer,232,536,322
230,Pyr in SP layer,64,872,290
231,Pyr in SP layer,280,16,322
232,Pyr in SP layer,400,864,314
233,Pyr in SP layer,208,472,322
234,Pyr in SP layer,136,112,290
235,Pyr in SP layer,200,912,290
236,Pyr in SP layer,168,360,290
237,Pyr in SP layer,72,168,322
238,Pyr in SP layer,24,752,306
239,Pyr in SP layer,136,880,322
240,Pyr in SP layer,352,744,290
241,Pyr in SP layer,104,952,290
242,Pyr in SP layer,384,912,322
243,Pyr in SP layer,168,144,306
244,Pyr in SP layer,120,216,322
245,Pyr in SP layer,88,864,306
246,Pyr in SP layer,392,664,314
247,Pyr in SP layer,104,888,314
248,Pyr in SP layer,24,160,290
249,Pyr in SP layer,288,560,290
250,Pyr in SP layer,32,496,306
251,Pyr in SP layer,144,648,298
252,Pyr in SP layer,208,56,314
253,Pyr in SP layer,8,16,306
254,Pyr in SP layer,112,136,322
255,Pyr in SP layer,72,120,290
256,Pyr in SP layer,392,384,298
257,Pyr in SP layer,8,456,322
258,Pyr in SP layer,24,752,290
259,Pyr in SP layer,104,432,306
260,Pyr in SP layer,352,976,298
261,Pyr in SP layer,64,152,306
262,Pyr in SP layer,240,760,298
263,Pyr in SP layer,96,856,298
264,Pyr in SP layer,8,880,290
265,Pyr in SP layer,32,208,298
266,Pyr in SP layer,368,296,306
267,Pyr in SP layer,344,144,290
268,Pyr in SP layer,232,272,314
269,Pyr in SP layer,176,16,306
270,Pyr in SP layer,248,880,314
271,Pyr in SP layer,336,568,298
272,Pyr in SP layer,368,768,314
273,Pyr in SP layer,216,128,298
274,Pyr in SP layer,56,264,306
275,Pyr in SP layer,216,296,306
276,Pyr in SP layer,400,464,322
277,Pyr in SP layer,232,408,298
278,Pyr in SP layer,160,616,306
279,Pyr in SP layer,248,656,314
280,Pyr in SP layer,232,424,314
281,Pyr in SP layer,8,712,322
282,Pyr in SP layer,368,992,306
283,Pyr in SP layer,176,688,298
284,Pyr in SP layer,168,0,298
285,Pyr in SP layer,400,280,298
286,Pyr in SP layer,48,88,314
287,Pyr in SP layer,32,112,298
288,Pyr in SP layer,328,808,290
289,Pyr in SP layer,0,528,298
290,Pyr in SP layer,256,96,314
291,Pyr in SP layer,8,536,298
292,Pyr in SP layer,120,104,322
293,Pyr in SP layer,200,8,290
294,Pyr in SP layer,264,0,306
295,Pyr in SP layer,8,160,306
296,Pyr in SP layer,336,784,314
297,Pyr in SP layer,248,376,306
298,Pyr in SP layer,64,688,290
299,Pyr in SP layer,192,192,314
300,Pyr in SP layer,344,704,290
301,Pyr in SP layer,296,448,298
302,Pyr in SP layer,144,920,298
303,Pyr in SP layer,192,344,306
304,Pyr in SP layer,272,312,290
305,Pyr in SP layer,328,296,298
306,Pyr in SP layer,168,400,322
307,Pyr in SP layer,160,656,298
308,Pyr in SP layer,176,256,322
309,Pyr in SP layer,400,208,314
310,Pyr in SP layer,136,0,290
311,Pyr in SP layer,152,792,322
312,Pyr in SP layer,72,96,322
313,Pyr in SP layer,128,344,306
314,Pyr in SP layer,160,712,306
315,Pyr in SP layer,240,88,314
316,Pyr in SP layer,160,384,322
317,Pyr in SP layer,352,352,298
318,Pyr in SP layer,224,752,298
319,Pyr in SP layer,184,240,298
320,Pyr in SP layer,392,408,322
321,Pyr in SP layer,256,776,322
322,Pyr in SP layer,400,880,298
323,Pyr in SP layer,216,88,314
324,Pyr in SP layer,104,912,322
325,Pyr in SP layer,296,984,290
326,Pyr in SP layer,120,520,298
327,Pyr in SP layer,112,864,322
328,Pyr in SP layer,160,872,298
329,Pyr in SP layer,224,328,290
330,Pyr in SP layer,368,368,322
331,Pyr in SP layer,40,960,314
332,Pyr in SP layer,224,616,306
333,Pyr in SP layer,304,584,322
334,Pyr in SP layer,16,984,290
335,Pyr in SP layer,160,504,298
336,Pyr in SP layer,152,424,290
337,Pyr in SP layer,120,608,314
338,Pyr in SP layer,64,480,314
339,Pyr in SP layer,360,488,322
340,Pyr in SP layer,104,920,298
341,Pyr in SP layer,168,128,322
342,Pyr in SP layer,56,880,322
343,Pyr in SP layer,392,584,298
344,Pyr in SP layer,392,496,306
345,Pyr in SP layer,112,456,290
346,Pyr in SP layer,24,1000,290
347,Pyr in SP layer,400,416,298
348,Pyr in SP layer,120,816,298
349,Pyr in SP layer,336,528,290
350,Pyr in SP layer,72,48,298
